network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
18,10,20,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1083,0.041786,0.00099995,0.00003897,0.00003887,-0.00000010,"{""v0"": 9.2e-05, ""v1"": 0.49957, ""v2"": 9.2e-05, ""v3"": 9.2e-05, ""v4"": 9.2e-05, ""v5"": 9.2e-05, ""v6"": 0.499692, ""v7"": 9.2e-05, ""v8"": 9.2e-05, ""v9"": 9.2e-05}",{}
19,10,32,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000103,0.00000000,0.00103137,0.00103842,0.00000705,"{""v0"": 0.1, ""v1"": 0.1, ""v2"": 0.1, ""v3"": 0.1, ""v4"": 0.1, ""v5"": 0.1, ""v6"": 0.1, ""v7"": 0.1, ""v8"": 0.1, ""v9"": 0.1}",{}
20,10,24,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,674,0.022248,0.00099860,0.00005667,0.00005668,0.00000001,"{""v0"": 0.013611, ""v1"": 0.012714, ""v2"": 0.000148, ""v3"": 0.000148, ""v4"": 0.000148, ""v5"": 0.000148, ""v6"": 0.000148, ""v7"": 0.000148, ""v8"": 0.000148, ""v9"": 0.972637}",{}
21,11,25,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2952,0.081358,0.00099976,0.00003815,0.00003802,-0.00000013,"{""v0"": 3.1e-05, ""v1"": 3.1e-05, ""v2"": 3.1e-05, ""v3"": 3.1e-05, ""v4"": 3.1e-05, ""v5"": 3.1e-05, ""v6"": 3.1e-05, ""v7"": 3.1e-05, ""v8"": 3.1e-05, ""v9"": 3.1e-05, ""v10"": 0.999692}",{}
22,13,42,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,163,0.008200,0.00099862,0.00005287,0.00005290,0.00000003,"{""v0"": 0.019091, ""v1"": 0.208992, ""v2"": 0.019091, ""v3"": 0.000472, ""v4"": 0.000472, ""v5"": 0.000472, ""v6"": 0.000472, ""v7"": 0.000472, ""v8"": 0.000472, ""v9"": 0.000472, ""v10"": 0.000472, ""v11"": 0.213621, ""v12"": 0.535429}",{}
23,14,37,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000086,0.00000000,0.00014594,0.00014889,0.00000295,"{""v0"": 0.071429, ""v1"": 0.071429, ""v2"": 0.071429, ""v3"": 0.071429, ""v4"": 0.071429, ""v5"": 0.071429, ""v6"": 0.071429, ""v7"": 0.071429, ""v8"": 0.071429, ""v9"": 0.071429, ""v10"": 0.071429, ""v11"": 0.071429, ""v12"": 0.071429, ""v13"": 0.071429}",{}
24,11,36,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000054,0.00000000,0.00250124,0.00251747,0.00001623,"{""v0"": 0.090909, ""v1"": 0.090909, ""v2"": 0.090909, ""v3"": 0.090909, ""v4"": 0.090909, ""v5"": 0.090909, ""v6"": 0.090909, ""v7"": 0.090909, ""v8"": 0.090909, ""v9"": 0.090909, ""v10"": 0.090909}",{}
25,31,129,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,2863,0.585001,0.00099979,0.00009585,0.00009624,0.00000039,"{""v0"": 1.1e-05, ""v1"": 1.1e-05, ""v2"": 1.1e-05, ""v3"": 0.077963, ""v4"": 1.1e-05, ""v5"": 1.1e-05, ""v6"": 0.310989, ""v7"": 1.1e-05, ""v8"": 1.1e-05, ""v9"": 1.1e-05, ""v10"": 1.1e-05, ""v11"": 1.1e-05, ""v12"": 0.29908, ""v13"": 1.1e-05, ""v14"": 1.1e-05, ""v15"": 1.1e-05, ""v16"": 1.1e-05, ""v17"": 1.1e-05, ""v18"": 1.1e-05, ""v19"": 1.1e-05, ""v20"": 1.1e-05, ""v21"": 1.1e-05, ""v22"": 1.1e-05, ""v23"": 1.1e-05, ""v24"": 1.1e-05, ""v25"": 1.1e-05, ""v26"": 1.1e-05, ""v27"": 1.1e-05, ""v28"": 1.1e-05, ""v29"": 1.1e-05, ""v30"": 0.311665}",{}
26,41,111,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,5210,1.297790,0.00099993,0.00009030,0.00009100,0.00000069,"{""v0"": 5e-06, ""v1"": 5e-06, ""v2"": 5e-06, ""v3"": 5e-06, ""v4"": 5e-06, ""v5"": 5e-06, ""v6"": 5e-06, ""v7"": 5e-06, ""v8"": 0.379434, ""v9"": 5e-06, ""v10"": 5e-06, ""v11"": 5e-06, ""v12"": 5e-06, ""v13"": 5e-06, ""v14"": 5e-06, ""v15"": 5e-06, ""v16"": 5e-06, ""v17"": 5e-06, ""v18"": 5e-06, ""v19"": 5e-06, ""v20"": 5e-06, ""v21"": 5e-06, ""v22"": 5e-06, ""v23"": 5e-06, ""v24"": 5e-06, ""v25"": 5e-06, ""v26"": 5e-06, ""v27"": 5e-06, ""v28"": 5e-06, ""v29"": 5e-06, ""v30"": 5e-06, ""v31"": 5e-06, ""v32"": 5e-06, ""v33"": 5e-06, ""v34"": 5e-06, ""v35"": 5e-06, ""v36"": 5e-06, ""v37"": 0.37904, ""v38"": 0.241348, ""v39"": 5e-06, ""v40"": 5e-06}",{}
27,43,150,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,310,0.139289,0.00099688,0.00001101,0.00001101,0.00000001,"{""v0"": 0.134688, ""v1"": 0.050474, ""v2"": 7.5e-05, ""v3"": 7.5e-05, ""v4"": 7.5e-05, ""v5"": 0.05171, ""v6"": 0.134806, ""v7"": 0.05113, ""v8"": 0.135088, ""v9"": 7.5e-05, ""v10"": 0.135043, ""v11"": 7.5e-05, ""v12"": 0.051032, ""v13"": 7.5e-05, ""v14"": 7.5e-05, ""v15"": 7.5e-05, ""v16"": 7.5e-05, ""v17"": 7.5e-05, ""v18"": 7.5e-05, ""v19"": 7.5e-05, ""v20"": 0.050527, ""v21"": 7.5e-05, ""v22"": 0.051176, ""v23"": 0.049706, ""v24"": 0.051472, ""v25"": 7.5e-05, ""v26"": 7.5e-05, ""v27"": 0.050897, ""v28"": 7.5e-05, ""v29"": 7.5e-05, ""v30"": 7.5e-05, ""v31"": 7.5e-05, ""v32"": 7.5e-05, ""v33"": 7.5e-05, ""v34"": 7.5e-05, ""v35"": 7.5e-05, ""v36"": 7.5e-05, ""v37"": 7.5e-05, ""v38"": 7.5e-05, ""v39"": 7.5e-05, ""v40"": 7.5e-05, ""v41"": 7.5e-05, ""v42"": 7.5e-05}",{}
28,44,144,10.0,greedy_probability,greedy_probability,stochastic,1,True,plateau,4900,0.878932,0.00123650,0.00004549,0.00004549,-0.00000000,"{""v0"": 5e-06, ""v1"": 5e-06, ""v2"": 0.499903, ""v3"": 5e-06, ""v4"": 5e-06, ""v5"": 5e-06, ""v6"": 5e-06, ""v7"": 5e-06, ""v8"": 0.499903, ""v9"": 5e-06, ""v10"": 5e-06, ""v11"": 5e-06, ""v12"": 5e-06, ""v13"": 5e-06, ""v14"": 5e-06, ""v15"": 5e-06, ""v16"": 5e-06, ""v17"": 5e-06, ""v18"": 5e-06, ""v19"": 5e-06, ""v20"": 5e-06, ""v21"": 5e-06, ""v22"": 5e-06, ""v23"": 5e-06, ""v24"": 5e-06, ""v25"": 5e-06, ""v26"": 5e-06, ""v27"": 5e-06, ""v28"": 5e-06, ""v29"": 5e-06, ""v30"": 5e-06, ""v31"": 5e-06, ""v32"": 5e-06, ""v33"": 5e-06, ""v34"": 5e-06, ""v35"": 5e-06, ""v36"": 5e-06, ""v37"": 5e-06, ""v38"": 5e-06, ""v39"": 5e-06, ""v40"": 5e-06, ""v41"": 5e-06, ""v42"": 5e-06, ""v43"": 5e-06}",{}
29,38,148,10.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000339,0.00000000,0.00688953,0.00695718,0.00006765,"{""v0"": 0.026316, ""v1"": 0.026316, ""v2"": 0.026316, ""v3"": 0.026316, ""v4"": 0.026316, ""v5"": 0.026316, ""v6"": 0.026316, ""v7"": 0.026316, ""v8"": 0.026316, ""v9"": 0.026316, ""v10"": 0.026316, ""v11"": 0.026316, ""v12"": 0.026316, ""v13"": 0.026316, ""v14"": 0.026316, ""v15"": 0.026316, ""v16"": 0.026316, ""v17"": 0.026316, ""v18"": 0.026316, ""v19"": 0.026316, ""v20"": 0.026316, ""v21"": 0.026316, ""v22"": 0.026316, ""v23"": 0.026316, ""v24"": 0.026316, ""v25"": 0.026316, ""v26"": 0.026316, ""v27"": 0.026316, ""v28"": 0.026316, ""v29"": 0.026316, ""v30"": 0.026316, ""v31"": 0.026316, ""v32"": 0.026316, ""v33"": 0.026316, ""v34"": 0.026316, ""v35"": 0.026316, ""v36"": 0.026316, ""v37"": 0.026316}",{}
30,44,100,10.0,greedy_probability,greedy_probability,stochastic,1,True,plateau,5550,0.854497,0.00176024,0.00003018,0.00003006,-0.00000012,"{""v0"": 4e-06, ""v1"": 4e-06, ""v2"": 4e-06, ""v3"": 4e-06, ""v4"": 4e-06, ""v5"": 4e-06, ""v6"": 4e-06, ""v7"": 4e-06, ""v8"": 4e-06, ""v9"": 4e-06, ""v10"": 4e-06, ""v11"": 4e-06, ""v12"": 4e-06, ""v13"": 4e-06, ""v14"": 4e-06, ""v15"": 4e-06, ""v16"": 4e-06, ""v17"": 4e-06, ""v18"": 4e-06, ""v19"": 4e-06, ""v20"": 4e-06, ""v21"": 4e-06, ""v22"": 4e-06, ""v23"": 4e-06, ""v24"": 4e-06, ""v25"": 4e-06, ""v26"": 4e-06, ""v27"": 4e-06, ""v28"": 4e-06, ""v29"": 4e-06, ""v30"": 4e-06, ""v31"": 4e-06, ""v32"": 4e-06, ""v33"": 4e-06, ""v34"": 4e-06, ""v35"": 4e-06, ""v36"": 4e-06, ""v37"": 4e-06, ""v38"": 4e-06, ""v39"": 4e-06, ""v40"": 4e-06, ""v41"": 0.674497, ""v42"": 4e-06, ""v43"": 0.325331}",{}
