network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
0,7400,,0.21349026,0.00006372,0.00002015,10
0,7450,,0.21348822,0.00006299,0.00001992,10
0,7500,,0.21348589,0.00006214,0.00001965,10
0,7550,,0.21348342,0.00006147,0.00001944,10
0,7600,,0.21348092,0.00006017,0.00001903,10
0,7650,,0.21347884,0.00005956,0.00001883,10
0,7700,,0.21347661,0.00005845,0.00001848,10
0,7750,,0.21347392,0.00005790,0.00001831,10
0,7800,,0.21347098,0.00005680,0.00001796,10
0,7850,,0.21346829,0.00005585,0.00001766,10
0,7900,,0.21346565,0.00005471,0.00001730,10
0,7950,,0.21346301,0.00005314,0.00001681,10
0,8000,,0.21346055,0.00005198,0.00001644,10
0,8050,,0.21345772,0.00005075,0.00001605,10
0,8100,,0.21345534,0.00004897,0.00001549,10
0,8150,,0.21345259,0.00004828,0.00001527,10
0,8200,,0.21344995,0.00004721,0.00001493,10
0,8250,,0.21344782,0.00004643,0.00001468,10
0,8300,,0.21344548,0.00004522,0.00001430,10
0,8350,,0.21344323,0.00004387,0.00001387,10
0,8400,,0.21344136,0.00004270,0.00001350,10
0,8450,,0.21343957,0.00004194,0.00001326,10
0,8500,,0.21343753,0.00004142,0.00001310,10
0,8550,,0.21343547,0.00004078,0.00001290,10
0,8600,,0.21343323,0.00004037,0.00001277,10
0,8650,,0.21343091,0.00003967,0.00001254,10
0,8700,,0.21342879,0.00003892,0.00001231,10
0,8750,,0.21342674,0.00003832,0.00001212,10
0,8800,,0.21342456,0.00003768,0.00001192,10
0,8850,,0.21342275,0.00003689,0.00001166,10
0,8900,,0.21342085,0.00003632,0.00001148,10
0,8950,,0.21341910,0.00003589,0.00001135,10
0,9000,,0.21341710,0.00003533,0.00001117,10
0,9050,,0.21341550,0.00003506,0.00001109,10
0,9100,,0.21341356,0.00003471,0.00001098,10
0,9150,,0.21341166,0.00003441,0.00001088,10
0,9200,,0.21341012,0.00003441,0.00001088,10
0,9250,,0.21340815,0.00003413,0.00001079,10
0,9300,,0.21340615,0.00003401,0.00001075,10
0,9350,,0.21340451,0.00003370,0.00001066,10
0,9400,,0.21340254,0.00003356,0.00001061,10
0,9450,,0.21340042,0.00003340,0.00001056,10
0,9500,,0.21339879,0.00003338,0.00001056,10
0,9550,,0.21339726,0.00003350,0.00001059,10
0,9600,,0.21339575,0.00003318,0.00001049,10
0,9650,,0.21339427,0.00003303,0.00001044,10
0,9700,,0.21339274,0.00003301,0.00001044,10
0,9750,,0.21339121,0.00003314,0.00001048,10
0,9800,,0.21338980,0.00003335,0.00001055,10
0,9850,,0.21338825,0.00003319,0.00001049,10
0,9900,,0.21338652,0.00003322,0.00001050,10
0,9950,,0.21338522,0.00003312,0.00001047,10
0,10000,,0.21338414,0.00003281,0.00001037,10
0,10050,,0.21338314,0.00003267,0.00001033,10
0,10100,,0.21338178,0.00003277,0.00001036,10
0,10150,,0.21338047,0.00003313,0.00001048,10
0,10200,,0.21337903,0.00003339,0.00001056,10
0,10250,,0.21337781,0.00003346,0.00001058,10
0,10300,,0.21337676,0.00003340,0.00001056,10
0,10350,,0.21337570,0.00003357,0.00001062,10
0,10400,,0.21337498,0.00003356,0.00001061,10
0,10450,,0.21337409,0.00003349,0.00001059,10
0,10500,,0.21337306,0.00003395,0.00001074,10
0,10550,,0.21337180,0.00003417,0.00001080,10
0,10600,,0.21337058,0.00003433,0.00001086,10
0,10650,,0.21336957,0.00003417,0.00001081,10
0,10653,,0.21331210,0.00000000,0.00000000,1
0,10700,,0.21337472,0.00002916,0.00000972,9
0,10750,,0.21337348,0.00002911,0.00000970,9
0,10800,,0.21337252,0.00002895,0.00000965,9
0,10850,,0.21337147,0.00002918,0.00000973,9
0,10900,,0.21337039,0.00002932,0.00000977,9
0,10950,,0.21336919,0.00002938,0.00000979,9
0,11000,,0.21336819,0.00002964,0.00000988,9
0,11050,,0.21336718,0.00002961,0.00000987,9
0,11100,,0.21336651,0.00002963,0.00000988,9
0,11150,,0.21336555,0.00002956,0.00000985,9
0,11200,,0.21336479,0.00002978,0.00000993,9
0,11250,,0.21336341,0.00002993,0.00000998,9
0,11300,,0.21336242,0.00003012,0.00001004,9
0,11350,,0.21336143,0.00003021,0.00001007,9
0,11400,,0.21336050,0.00003021,0.00001007,9
0,11450,,0.21335935,0.00003030,0.00001010,9
0,11500,,0.21335847,0.00003051,0.00001017,9
0,11517,,0.21331210,0.00000000,0.00000000,1
0,11550,,0.21336323,0.00002712,0.00000959,8
0,11600,,0.21336221,0.00002751,0.00000973,8
0,11628,,0.21331209,0.00000000,0.00000000,1
0,11650,,0.21336844,0.00002047,0.00000774,7
0,11700,,0.21336765,0.00002056,0.00000777,7
0,11750,,0.21336671,0.00002057,0.00000778,7
0,11800,,0.21336570,0.00002064,0.00000780,7
0,11850,,0.21336450,0.00002072,0.00000783,7
0,11900,,0.21336352,0.00002076,0.00000785,7
0,11950,,0.21336288,0.00002083,0.00000787,7
0,12000,,0.21336199,0.00002114,0.00000799,7
0,12050,,0.21336148,0.00002127,0.00000804,7
0,12100,,0.21336078,0.00002141,0.00000809,7
0,12150,,0.21335994,0.00002142,0.00000809,7
0,12200,,0.21335893,0.00002140,0.00000809,7
0,12250,,0.21335812,0.00002137,0.00000808,7
0,12300,,0.21335758,0.00002137,0.00000808,7
0,12350,,0.21335685,0.00002142,0.00000809,7
0,12400,,0.21335609,0.00002115,0.00000799,7
