network_id,t,exact_obj,stoch_mean_obj,stoch_std_obj,stoch_sem_obj,stoch_runs
21,18200,,0.00700300,0.00002289,0.00000724,10
21,18250,,0.00700286,0.00002295,0.00000726,10
21,18300,,0.00700274,0.00002299,0.00000727,10
21,18350,,0.00700267,0.00002301,0.00000728,10
21,18400,,0.00700260,0.00002305,0.00000729,10
21,18450,,0.00700254,0.00002301,0.00000728,10
21,18500,,0.00700248,0.00002293,0.00000725,10
21,18550,,0.00700240,0.00002285,0.00000723,10
21,18600,,0.00700232,0.00002289,0.00000724,10
21,18650,,0.00700227,0.00002293,0.00000725,10
21,18700,,0.00700223,0.00002290,0.00000724,10
21,18750,,0.00700217,0.00002282,0.00000722,10
21,18800,,0.00700208,0.00002272,0.00000719,10
21,18850,,0.00700203,0.00002261,0.00000715,10
21,18900,,0.00700192,0.00002255,0.00000713,10
21,18950,,0.00700178,0.00002252,0.00000712,10
21,19000,,0.00700171,0.00002241,0.00000709,10
21,19050,,0.00700163,0.00002229,0.00000705,10
21,19100,,0.00700155,0.00002218,0.00000701,10
21,19150,,0.00700145,0.00002210,0.00000699,10
21,19200,,0.00700134,0.00002205,0.00000697,10
21,19250,,0.00700126,0.00002203,0.00000697,10
21,19300,,0.00700114,0.00002201,0.00000696,10
21,19350,,0.00700099,0.00002202,0.00000696,10
21,19400,,0.00700083,0.00002201,0.00000696,10
21,19450,,0.00700063,0.00002199,0.00000696,10
21,19500,,0.00700043,0.00002194,0.00000694,10
21,19550,,0.00700029,0.00002186,0.00000691,10
21,19600,,0.00700012,0.00002176,0.00000688,10
21,19650,,0.00699995,0.00002165,0.00000685,10
21,19700,,0.00699981,0.00002156,0.00000682,10
21,19750,,0.00699966,0.00002153,0.00000681,10
21,19800,,0.00699951,0.00002150,0.00000680,10
21,19850,,0.00699935,0.00002147,0.00000679,10
21,19900,,0.00699924,0.00002144,0.00000678,10
21,19950,,0.00699914,0.00002143,0.00000678,10
21,20000,,0.00699900,0.00002143,0.00000678,10
21,20050,,0.00699884,0.00002145,0.00000678,10
21,20100,,0.00699871,0.00002147,0.00000679,10
21,20150,,0.00699859,0.00002147,0.00000679,10
21,20200,,0.00699850,0.00002147,0.00000679,10
21,20250,,0.00699842,0.00002146,0.00000679,10
21,20300,,0.00699834,0.00002144,0.00000678,10
21,20350,,0.00699825,0.00002139,0.00000676,10
21,20400,,0.00699816,0.00002132,0.00000674,10
21,20450,,0.00699803,0.00002125,0.00000672,10
21,20500,,0.00699797,0.00002118,0.00000670,10
21,20550,,0.00699797,0.00002108,0.00000667,10
21,20600,,0.00699791,0.00002100,0.00000664,10
21,20650,,0.00699785,0.00002097,0.00000663,10
21,20700,,0.00699778,0.00002099,0.00000664,10
21,20750,,0.00699766,0.00002101,0.00000665,10
21,20800,,0.00699753,0.00002102,0.00000665,10
21,20850,,0.00699742,0.00002100,0.00000664,10
21,20900,,0.00699731,0.00002096,0.00000663,10
21,20950,,0.00699716,0.00002090,0.00000661,10
