network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
25,31,129,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3535,0.690001,0.00099984,0.00644040,0.00644614,0.00000573,"{""v0"": 9e-06, ""v1"": 9e-06, ""v2"": 9e-06, ""v3"": 0.001751, ""v4"": 9e-06, ""v5"": 9e-06, ""v6"": 0.390815, ""v7"": 9e-06, ""v8"": 9e-06, ""v9"": 9e-06, ""v10"": 9e-06, ""v11"": 9e-06, ""v12"": 0.163729, ""v13"": 9e-06, ""v14"": 9e-06, ""v15"": 9e-06, ""v16"": 9e-06, ""v17"": 9e-06, ""v18"": 9e-06, ""v19"": 9e-06, ""v20"": 9e-06, ""v21"": 9e-06, ""v22"": 9e-06, ""v23"": 9e-06, ""v24"": 9e-06, ""v25"": 9e-06, ""v26"": 9e-06, ""v27"": 9e-06, ""v28"": 9e-06, ""v29"": 9e-06, ""v30"": 0.443459}",{}
26,41,111,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,4105,1.009144,0.00099979,0.00662343,0.00663202,0.00000859,"{""v0"": 6e-06, ""v1"": 6e-06, ""v2"": 6e-06, ""v3"": 6e-06, ""v4"": 6e-06, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 0.500852, ""v9"": 6e-06, ""v10"": 2.5e-05, ""v11"": 6e-06, ""v12"": 6e-06, ""v13"": 6e-06, ""v14"": 6e-06, ""v15"": 6e-06, ""v16"": 6e-06, ""v17"": 6e-06, ""v18"": 6e-06, ""v19"": 6e-06, ""v20"": 6e-06, ""v21"": 6e-06, ""v22"": 6e-06, ""v23"": 6e-06, ""v24"": 6e-06, ""v25"": 6e-06, ""v26"": 6e-06, ""v27"": 6e-06, ""v28"": 6e-06, ""v29"": 6e-06, ""v30"": 6e-06, ""v31"": 6e-06, ""v32"": 6e-06, ""v33"": 6e-06, ""v34"": 6e-06, ""v35"": 6e-06, ""v36"": 6e-06, ""v37"": 0.482589, ""v38"": 0.016315, ""v39"": 6e-06, ""v40"": 6e-06}",{}
27,43,150,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1502,0.664165,0.00099887,0.00202025,0.00202060,0.00000035,"{""v0"": 0.098523, ""v1"": 0.006151, ""v2"": 1.5e-05, ""v3"": 1.5e-05, ""v4"": 1.5e-05, ""v5"": 0.10458, ""v6"": 0.114568, ""v7"": 0.086116, ""v8"": 0.187153, ""v9"": 1.5e-05, ""v10"": 0.135332, ""v11"": 1.5e-05, ""v12"": 0.060244, ""v13"": 1.5e-05, ""v14"": 1.5e-05, ""v15"": 1.5e-05, ""v16"": 1.5e-05, ""v17"": 1.5e-05, ""v18"": 1.5e-05, ""v19"": 1.5e-05, ""v20"": 0.006735, ""v21"": 1.5e-05, ""v22"": 0.066782, ""v23"": 0.005049, ""v24"": 0.086096, ""v25"": 1.5e-05, ""v26"": 1.5e-05, ""v27"": 0.042205, ""v28"": 1.5e-05, ""v29"": 1.5e-05, ""v30"": 1.5e-05, ""v31"": 1.5e-05, ""v32"": 1.5e-05, ""v33"": 1.5e-05, ""v34"": 1.5e-05, ""v35"": 1.5e-05, ""v36"": 1.5e-05, ""v37"": 1.5e-05, ""v38"": 1.5e-05, ""v39"": 1.5e-05, ""v40"": 1.5e-05, ""v41"": 1.5e-05, ""v42"": 1.5e-05}",{}
28,44,144,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3803,0.678537,0.00099985,0.00674638,0.00674638,-0.00000000,"{""v0"": 6e-06, ""v1"": 6e-06, ""v2"": 0.499875, ""v3"": 6e-06, ""v4"": 6e-06, ""v5"": 6e-06, ""v6"": 6e-06, ""v7"": 6e-06, ""v8"": 0.499875, ""v9"": 6e-06, ""v10"": 6e-06, ""v11"": 6e-06, ""v12"": 6e-06, ""v13"": 6e-06, ""v14"": 6e-06, ""v15"": 6e-06, ""v16"": 6e-06, ""v17"": 6e-06, ""v18"": 6e-06, ""v19"": 6e-06, ""v20"": 6e-06, ""v21"": 6e-06, ""v22"": 6e-06, ""v23"": 6e-06, ""v24"": 6e-06, ""v25"": 6e-06, ""v26"": 6e-06, ""v27"": 6e-06, ""v28"": 6e-06, ""v29"": 6e-06, ""v30"": 6e-06, ""v31"": 6e-06, ""v32"": 6e-06, ""v33"": 6e-06, ""v34"": 6e-06, ""v35"": 6e-06, ""v36"": 6e-06, ""v37"": 6e-06, ""v38"": 6e-06, ""v39"": 6e-06, ""v40"": 6e-06, ""v41"": 6e-06, ""v42"": 6e-06, ""v43"": 6e-06}",{}
29,38,148,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,1,0.000339,0.00000000,0.04663509,0.04697231,0.00033722,"{""v0"": 0.026316, ""v1"": 0.026316, ""v2"": 0.026316, ""v3"": 0.026316, ""v4"": 0.026316, ""v5"": 0.026316, ""v6"": 0.026316, ""v7"": 0.026316, ""v8"": 0.026316, ""v9"": 0.026316, ""v10"": 0.026316, ""v11"": 0.026316, ""v12"": 0.026316, ""v13"": 0.026316, ""v14"": 0.026316, ""v15"": 0.026316, ""v16"": 0.026316, ""v17"": 0.026316, ""v18"": 0.026316, ""v19"": 0.026316, ""v20"": 0.026316, ""v21"": 0.026316, ""v22"": 0.026316, ""v23"": 0.026316, ""v24"": 0.026316, ""v25"": 0.026316, ""v26"": 0.026316, ""v27"": 0.026316, ""v28"": 0.026316, ""v29"": 0.026316, ""v30"": 0.026316, ""v31"": 0.026316, ""v32"": 0.026316, ""v33"": 0.026316, ""v34"": 0.026316, ""v35"": 0.026316, ""v36"": 0.026316, ""v37"": 0.026316}",{}
30,44,100,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,7274,1.131480,0.00099988,0.00451136,0.00449437,-0.00001699,"{""v0"": 3e-06, ""v1"": 3e-06, ""v2"": 3e-06, ""v3"": 3e-06, ""v4"": 3e-06, ""v5"": 3e-06, ""v6"": 3e-06, ""v7"": 3e-06, ""v8"": 3e-06, ""v9"": 3e-06, ""v10"": 3e-06, ""v11"": 3e-06, ""v12"": 3e-06, ""v13"": 3e-06, ""v14"": 3e-06, ""v15"": 3e-06, ""v16"": 3e-06, ""v17"": 3e-06, ""v18"": 3e-06, ""v19"": 3e-06, ""v20"": 3e-06, ""v21"": 3e-06, ""v22"": 3e-06, ""v23"": 3e-06, ""v24"": 3e-06, ""v25"": 3e-06, ""v26"": 3e-06, ""v27"": 3e-06, ""v28"": 3e-06, ""v29"": 3e-06, ""v30"": 3e-06, ""v31"": 3e-06, ""v32"": 3e-06, ""v33"": 3e-06, ""v34"": 3e-06, ""v35"": 3e-06, ""v36"": 3e-06, ""v37"": 3e-06, ""v38"": 3e-06, ""v39"": 3e-06, ""v40"": 3e-06, ""v41"": 0.718617, ""v42"": 3e-06, ""v43"": 0.281252}",{}
31,35,150,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,5358,0.654508,0.00099968,0.00504694,0.00505046,0.00000352,"{""v0"": 5e-06, ""v1"": 0.601134, ""v2"": 0.39869, ""v3"": 5e-06, ""v4"": 5e-06, ""v5"": 5e-06, ""v6"": 5e-06, ""v7"": 5e-06, ""v8"": 5e-06, ""v9"": 5e-06, ""v10"": 5e-06, ""v11"": 5e-06, ""v12"": 5e-06, ""v13"": 5e-06, ""v14"": 5e-06, ""v15"": 5e-06, ""v16"": 5e-06, ""v17"": 5e-06, ""v18"": 5e-06, ""v19"": 5e-06, ""v20"": 5e-06, ""v21"": 5e-06, ""v22"": 5e-06, ""v23"": 5e-06, ""v24"": 5e-06, ""v25"": 5e-06, ""v26"": 5e-06, ""v27"": 5e-06, ""v28"": 5e-06, ""v29"": 5e-06, ""v30"": 5e-06, ""v31"": 5e-06, ""v32"": 5e-06, ""v33"": 5e-06, ""v34"": 5e-06}",{}
32,43,102,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,6129,0.769748,0.00099994,0.00678126,0.00678448,0.00000322,"{""v0"": 4e-06, ""v1"": 0.998405, ""v2"": 7.7e-05, ""v3"": 4e-06, ""v4"": 4e-06, ""v5"": 7.7e-05, ""v6"": 4e-06, ""v7"": 7.7e-05, ""v8"": 0.001074, ""v9"": 4e-06, ""v10"": 4e-06, ""v11"": 7.7e-05, ""v12"": 4e-06, ""v13"": 4e-06, ""v14"": 4e-06, ""v15"": 4e-06, ""v16"": 4e-06, ""v17"": 4e-06, ""v18"": 4e-06, ""v19"": 4e-06, ""v20"": 4e-06, ""v21"": 4e-06, ""v22"": 4e-06, ""v23"": 4e-06, ""v24"": 4e-06, ""v25"": 4e-06, ""v26"": 4e-06, ""v27"": 4e-06, ""v28"": 4e-06, ""v29"": 4e-06, ""v30"": 4e-06, ""v31"": 4e-06, ""v32"": 4e-06, ""v33"": 4e-06, ""v34"": 4e-06, ""v35"": 7.7e-05, ""v36"": 4e-06, ""v37"": 4e-06, ""v38"": 4e-06, ""v39"": 4e-06, ""v40"": 4e-06, ""v41"": 4e-06, ""v42"": 4e-06}",{}
33,37,122,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3024,0.417029,0.00099988,0.00677319,0.00677841,0.00000522,"{""v0"": 9e-06, ""v1"": 9e-06, ""v2"": 0.499564, ""v3"": 9e-06, ""v4"": 0.000239, ""v5"": 0.000216, ""v6"": 9e-06, ""v7"": 0.000216, ""v8"": 9e-06, ""v9"": 9e-06, ""v10"": 0.498949, ""v11"": 9e-06, ""v12"": 9e-06, ""v13"": 9e-06, ""v14"": 9e-06, ""v15"": 9e-06, ""v16"": 9e-06, ""v17"": 9e-06, ""v18"": 9e-06, ""v19"": 9e-06, ""v20"": 9e-06, ""v21"": 9e-06, ""v22"": 9e-06, ""v23"": 9e-06, ""v24"": 9e-06, ""v25"": 9e-06, ""v26"": 9e-06, ""v27"": 9e-06, ""v28"": 9e-06, ""v29"": 9e-06, ""v30"": 9e-06, ""v31"": 9e-06, ""v32"": 9e-06, ""v33"": 0.000186, ""v34"": 0.000186, ""v35"": 9e-06, ""v36"": 0.000186}",{}
34,32,117,5.0,greedy_probability,greedy_probability,stochastic,1,True,regret,3277,0.382668,0.00099987,0.00683348,0.00682673,-0.00000675,"{""v0"": 0.00189, ""v1"": 0.401472, ""v2"": 1e-05, ""v3"": 1e-05, ""v4"": 1e-05, ""v5"": 0.19234, ""v6"": 1e-05, ""v7"": 0.404031, ""v8"": 1e-05, ""v9"": 1e-05, ""v10"": 1e-05, ""v11"": 1e-05, ""v12"": 1e-05, ""v13"": 1e-05, ""v14"": 1e-05, ""v15"": 1e-05, ""v16"": 1e-05, ""v17"": 1e-05, ""v18"": 1e-05, ""v19"": 1e-05, ""v20"": 1e-05, ""v21"": 1e-05, ""v22"": 1e-05, ""v23"": 1e-05, ""v24"": 1e-05, ""v25"": 1e-05, ""v26"": 1e-05, ""v27"": 1e-05, ""v28"": 1e-05, ""v29"": 1e-05, ""v30"": 1e-05, ""v31"": 1e-05}",{}
