source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b100r5,17,12,37,87.195721,295.914900,56949,59328,149,120,1.2417,70.2247
b100r5,18,10,20,130.759675,131.432775,122500,62500,84,37,2.2703,57.5965
b100r5,19,10,32,0.614048,6.258935,757,1289,116,77,1.5065,0.4076
b100r5,20,10,24,234.389459,713.371746,208000,206500,96,70,1.3714,170.9090
b100r5,21,11,25,143.795857,352.564896,131000,131000,93,57,1.6316,88.1329
b100r5,22,13,42,2.564386,16.811394,2237,2406,181,138,1.3116,1.9552
b100r5,23,14,37,0.109158,0.744048,105,91,159,83,1.9157,0.0570
b100r5,24,11,36,0.257706,0.920607,253,248,132,66,2.0000,0.1289
b100r5,25,31,129,1104.665635,5489.259765,190583,211627,961,402,2.3905,462.0974
b100r5,26,41,111,1518.582032,6273.156951,229000,240000,893,340,2.6265,578.1835
b100r5,27,43,150,8.871130,72.398144,1613,1532,1040,625,1.6640,5.3312
b100r5,28,44,144,1705.482787,2520.996901,143500,137500,1145,614,1.8648,914.5558
b100r5,29,38,148,2.647449,17.722955,522,351,1142,495,2.3071,1.1475
b100r5,30,44,100,188.544083,1176.546758,46196,61985,702,416,1.6875,111.7298
b100r5,31,35,150,3080.024775,11702.490343,378500,323000,1263,702,1.7991,1711.9378
b100r5,32,43,102,1183.606448,3019.441532,230000,220000,772,432,1.7870,662.3290
b100r5,33,37,122,2258.169291,5202.742026,349500,382000,861,500,1.7220,1311.3643
b100r5,34,32,117,1708.345334,3827.832398,293000,285500,753,539,1.3970,1222.8395
b100r5,35,42,133,6.072423,10.957763,1041,795,1059,460,2.3022,2.6377
b100r5,36,31,113,246.329832,2120.282883,59996,74002,640,506,1.2648,194.7545
b100r5,37,41,116,420.418558,2809.037094,85904,94872,939,695,1.3511,311.1724
b100r5,38,42,126,6.960576,70.922155,1701,1871,928,518,1.7915,3.8853
b100r5,39,13,42,0.516368,2.874194,406,401,196,145,1.3517,0.3820
