source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
b10r5,16,10,27,53.362967,73.997091,50305,60620
b10r5,17,12,37,86.920051,61.729507,56949,61897
b10r5,18,10,20,130.959364,31.975591,122500,80000
b10r5,19,10,32,0.618308,0.948256,757,1005
b10r5,20,10,24,234.650916,150.252379,208000,200500
b10r5,21,11,25,146.036668,90.421552,131000,161000
b10r5,22,13,42,2.614206,4.036161,2237,2586
b10r5,23,14,37,0.112767,0.163506,105,103
b10r5,24,11,36,0.263680,0.263815,253,278
b10r5,25,31,129,1122.212798,1696.107365,190583,239937
b10r5,26,41,111,1549.461943,1114.082748,229000,248000
b10r5,27,43,150,9.238103,14.494920,1613,1864
b10r5,28,44,144,1780.817896,485.207994,143500,130500
b10r5,29,38,148,2.728557,5.795700,522,550
b10r5,30,44,100,193.529023,229.172353,46196,70382
b10r5,31,35,150,3171.850682,2757.847403,378500,305000
b10r5,32,43,102,1229.879790,681.217692,230000,241500
b10r5,33,37,122,2275.466723,1244.016508,349500,388500
b10r5,34,32,117,1726.542643,991.184840,293000,298500
b10r5,35,42,133,6.169472,2.461725,1041,862
b10r5,36,31,113,248.903446,561.035002,59996,75850
b10r5,37,41,116,424.541498,425.374507,85904,94563
b10r5,38,42,126,7.050329,14.186500,1701,2631
b10r5,39,13,42,0.516571,0.559887,406,382
b10r5,40,14,45,462.419378,477.517162,234500,291856
b10r5,41,12,30,14.507655,21.454862,13819,17349
b10r5,42,14,36,15.470121,20.859751,11780,13015
b10r5,43,15,45,429.101602,566.613160,244768,295442
b1r10,0,13,46,0.008753,0.036953,5,16
b1r10,1,14,45,41.355646,88.105385,24980,55579
b1r10,2,13,31,39.437390,77.008204,34093,76031
b1r10,3,12,43,526.773420,262.679045,247561,393726
b1r10,4,14,47,448.854466,263.241560,198771,273211
b1r10,5,15,39,0.114697,0.428451,83,308
b1r10,6,14,46,21.499174,27.450765,13831,25610
b1r10,7,12,31,0.557958,0.957310,601,1338
b1r10,8,14,49,38.176827,33.885170,20575,27961
b1r10,9,10,23,0.271425,0.331021,378,698
b1r10,10,12,38,458.053279,249.777516,242500,357500
b1r10,11,11,36,27.591267,13.099305,20591,22894
b1r10,12,14,45,0.146359,0.406546,100,235
b1r10,13,12,35,127.027740,52.134262,77482,119277
b1r10,14,14,34,0.086973,0.270842,83,230
b1r10,15,14,45,0.246862,0.505938,169,354
b1r10,16,10,27,15.092241,26.173375,13935,29876
b1r10,17,12,37,21.777066,10.015349,14221,17179
b1r10,18,10,20,254.765463,35.355661,240500,156500
b1r10,19,10,32,0.779778,1.507701,701,1717
b1r10,20,10,24,198.338202,132.882238,171474,278767
b1r10,21,11,25,64.618826,89.122381,58534,238939
b1r10,22,13,42,1.497871,2.049241,1128,1377
b1r10,23,14,37,0.019849,0.305393,16,206
b1r10,24,11,36,0.063382,0.115190,52,114
b1r10,25,31,129,219.201145,557.447094,37987,91585
b1r10,26,41,111,2293.781383,1122.328945,327500,500000
b1r10,27,43,150,4.206536,10.026675,650,1314
b1r10,28,44,144,2438.041039,673.481269,214000,310000
b1r10,29,38,148,0.861777,0.023167,155,1
b1r10,30,44,100,45.507999,70.573919,10777,41018
